page,path,clicks_7d,impressions_7d,ctr_7d,position_7d,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,ctr_previous_28d,position_previous_28d,click_change_28d,impression_change_28d,clicks_3mo,impressions_3mo,ctr_3mo,position_3mo
https://www.radianceclinics.com/treatments/laser,/treatments/laser,0,103,0.00,37.38,0,172,0.00,39.28,0,0,0.00,0.00,0,172,0,172,0.00,39.28
https://www.radianceclinics.com/post/what-makes-bio-hair-transplant-different-from-traditional-methods/,/post/what-makes-bio-hair-transplant-different-from-traditional-methods,0,1,0.00,4.00,0,171,0.00,9.64,0,307,0.00,9.33,0,-136,3,717,0.42,9.55
https://www.radianceclinics.com/post/decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing/,/post/decoding-the-cost-of-chemical-peels-in-odisha-understanding-the-factors-behind-pricing,0,1,0.00,2.00,0,170,0.00,8.48,0,239,0.00,11.97,0,-69,3,754,0.40,11.48
https://www.radianceclinics.com/skin-brightening-solutions-radiance/,/skin-brightening-solutions-radiance,,,,,0,166,0.00,15.91,0,241,0.00,11.63,0,-75,2,796,0.25,16.22
https://www.radianceclinics.com/post/things-to-avoid-if-you-have-acne-prone-skin/,/post/things-to-avoid-if-you-have-acne-prone-skin,,,,,0,162,0.00,25.83,0,406,0.00,27.16,0,-244,0,832,0.00,26.23
https://www.radianceclinics.com/treatment/premium-services/hydra-facial/,/treatment/premium-services/hydra-facial,,,,,0,161,0.00,21.37,1,259,0.39,15.40,-1,-98,2,786,0.25,18.25
https://www.radianceclinics.com/treatment/hairfall/gfc/,/treatment/hairfall/gfc,,,,,3,155,1.94,29.68,0,219,0.00,30.07,3,-64,8,795,1.01,30.81
https://www.radianceclinics.com/post/how-hair-shapes-self-image-and-personal-confidence/,/post/how-hair-shapes-self-image-and-personal-confidence,0,2,0.00,2.00,0,150,0.00,15.18,0,338,0.00,6.59,0,-188,0,992,0.00,9.70
https://www.radianceclinics.com/concerns/acne-scars/rolling-scars,/concerns/acne-scars/rolling-scars,0,149,0.00,14.29,0,149,0.00,14.29,0,0,0.00,0.00,0,149,0,149,0.00,14.29
https://www.radianceclinics.com/treatment/non-surgical-facial-enhancements/lip-blushing/,/treatment/non-surgical-facial-enhancements/lip-blushing,,,,,5,146,3.42,8.03,1,193,0.52,9.80,4,-47,12,535,2.24,9.36
https://www.radianceclinics.com/post/how-long-does-it-take-to-see-results-after-a-hair-transplant/,/post/how-long-does-it-take-to-see-results-after-a-hair-transplant,,,,,1,134,0.75,16.47,1,241,0.41,15.00,0,-107,2,623,0.32,15.99
https://www.radianceclinics.com/hair-transplant-in-baripada/,/hair-transplant-in-baripada,,,,,4,131,3.05,11.61,0,187,0.00,6.14,4,-56,12,522,2.30,8.17
https://www.radianceclinics.com/conditions/antiageing/neck-line/,/conditions/antiageing/neck-line,0,43,0.00,66.67,0,126,0.00,66.89,0,95,0.00,67.25,0,31,0,295,0.00,66.36
https://www.radianceclinics.com/hair-transplant-in-rourkela/,/hair-transplant-in-rourkela,,,,,0,125,0.00,14.22,1,133,0.75,10.48,-1,-8,2,494,0.40,11.68
https://www.radianceclinics.com/hair-transplant-in-puri/,/hair-transplant-in-puri,,,,,3,124,2.42,16.31,2,187,1.07,11.68,1,-63,7,542,1.29,14.83
https://www.radianceclinics.com/concerns/acne-scars/post-inflammatory-hyperpigmentation,/concerns/acne-scars/post-inflammatory-hyperpigmentation,0,123,0.00,69.00,0,123,0.00,69.00,0,0,0.00,0.00,0,123,0,123,0.00,69.00
https://www.radianceclinics.com/treatments,/treatments,0,90,0.00,74.20,0,121,0.00,72.50,0,0,0.00,0.00,0,121,0,121,0.00,72.50
https://www.radianceclinics.com/conditions/hairfall/scarring-alopecia/,/conditions/hairfall/scarring-alopecia,,,,,0,118,0.00,87.81,0,128,0.00,82.49,0,-10,0,323,0.00,84.96
https://www.radianceclinics.com/ear-piercing/,/ear-piercing,,,,,2,115,1.74,9.95,1,240,0.42,10.00,1,-125,4,568,0.70,10.28
https://www.radianceclinics.com/treatment/bridal-dermatology/under-eye-rejuvenation/,/treatment/bridal-dermatology/under-eye-rejuvenation,,,,,3,109,2.75,27.98,0,98,0.00,37.42,3,11,5,292,1.71,32.08
https://www.radianceclinics.com/alopecia-treatment/,/alopecia-treatment,,,,,0,107,0.00,38.28,2,77,2.60,8.53,-2,30,3,267,1.12,21.02
https://www.radianceclinics.com/conditions/open-pores/,/conditions/open-pores,0,15,0.00,38.47,0,105,0.00,49.22,0,51,0.00,27.25,0,54,2,189,1.06,41.86
https://www.radianceclinics.com/about,/about,6,66,9.09,7.11,6,104,5.77,7.61,0,0,0.00,0.00,6,104,6,104,5.77,7.61
https://www.radianceclinics.com/post/what-are-the-common-causes-of-hair-loss-in-women/,/post/what-are-the-common-causes-of-hair-loss-in-women,,,,,0,102,0.00,2.55,0,15,0.00,5.93,0,87,0,117,0.00,2.98
https://www.radianceclinics.com/split-ear-repair/,/split-ear-repair,,,,,1,101,0.99,11.75,6,165,3.64,7.48,-5,-64,8,470,1.70,9.59
https://www.radianceclinics.com/post/can-laser-hair-removal-permanently-remove-hair/,/post/can-laser-hair-removal-permanently-remove-hair,,,,,0,101,0.00,34.89,0,498,0.00,35.86,0,-397,0,884,0.00,33.68
https://www.radianceclinics.com/conditions/pseudo-acanthosis-nigricans/,/conditions/pseudo-acanthosis-nigricans,,,,,1,100,1.00,18.28,1,92,1.09,15.37,0,8,2,338,0.59,15.64
https://www.radianceclinics.com/treatments/aesthetic-dermatology/injectable-aesthetics,/treatments/aesthetic-dermatology/injectable-aesthetics,0,71,0.00,57.15,0,98,0.00,54.35,0,0,0.00,0.00,0,98,0,98,0.00,54.35
https://www.radianceclinics.com/treatment/premium-services/,/treatment/premium-services,0,34,0.00,54.68,0,98,0.00,67.90,0,81,0.00,80.51,0,17,0,287,0.00,77.61
https://www.radianceclinics.com/fillers/,/fillers,,,,,5,98,5.10,13.53,0,213,0.00,14.42,5,-115,7,661,1.06,13.42
https://www.radianceclinics.com/post/which-is-better-synthetic-or-natural-hair-wigs/,/post/which-is-better-synthetic-or-natural-hair-wigs,0,2,0.00,3.00,0,97,0.00,6.42,0,122,0.00,5.28,0,-25,0,370,0.00,6.56
https://www.radianceclinics.com/conditions/antiageing/forehead-line/,/conditions/antiageing/forehead-line,0,1,0.00,83.00,0,95,0.00,75.98,0,38,0.00,60.29,0,57,0,161,0.00,63.50
https://www.radianceclinics.com/post/a-complete-guide-to-know-about-botox-treatment/,/post/a-complete-guide-to-know-about-botox-treatment,,,,,1,94,1.06,20.50,4,210,1.90,16.67,-3,-116,5,565,0.88,17.71
https://www.radianceclinics.com/post/are-acne-scars-permanent-the-answer-may-surprise-you/,/post/are-acne-scars-permanent-the-answer-may-surprise-you,,,,,0,91,0.00,8.46,0,189,0.00,12.06,0,-98,0,340,0.00,14.37
https://www.radianceclinics.com/post/can-you-reverse-signs-of-ageing-with-anti-ageing-treatment/,/post/can-you-reverse-signs-of-ageing-with-anti-ageing-treatment,0,11,0.00,64.27,0,90,0.00,62.14,0,87,0.00,61.86,0,3,0,341,0.00,59.67
https://www.radianceclinics.com/recent-result/,/recent-result,,,,,0,90,0.00,13.41,0,38,0.00,23.79,0,52,0,199,0.00,19.99
https://www.radianceclinics.com/post/fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar/,/post/fillers-treatment-at-radiance-skin-and-hair-clinics-in-bhubaneswar,0,31,0.00,8.84,0,89,0.00,11.40,0,84,0.00,12.40,0,5,0,294,0.00,14.59
https://www.radianceclinics.com/post/the-best-acne-scar-treatments-to-boost-your-confidence/,/post/the-best-acne-scar-treatments-to-boost-your-confidence,0,7,0.00,55.43,0,89,0.00,56.15,0,22,0.00,64.77,0,67,0,179,0.00,58.88
https://www.radianceclinics.com/post/how-does-hair-loss-affect-an-individuals-confidence-level/,/post/how-does-hair-loss-affect-an-individuals-confidence-level,,,,,0,86,0.00,19.47,2,113,1.77,15.60,-2,-27,2,321,0.62,16.49
https://www.radianceclinics.com/bio-therapy-treatment/,/bio-therapy-treatment,,,,,0,85,0.00,33.94,0,137,0.00,17.31,0,-52,0,452,0.00,16.54
https://www.radianceclinics.com/treatment/acne-treatment/acne-zap-laser/,/treatment/acne-treatment/acne-zap-laser,,,,,0,84,0.00,27.32,0,114,0.00,24.04,0,-30,0,330,0.00,26.92
